strain
ECOR29
IAI36
ECOR14
ROAR072
IAI79
DIJ07
NILS74
IAI58
IAI24
IAI82
IAI09
IAI38
ROAR036
ECOR19
PDP110
ROAR129
ECOR02
001031C1
NILS28
ECOR60
IAI72
NILS26
LF7074
ECOR65
ECOR70
H10030116VR
ECOR64
LI10
NILS53
H10010154TK
ECOR24
ECOR01
NILS33
NILS16
NILS69
NILS30
IAI32
NILS02
IAI47
ECOR49
IAI18
IAI12
NILS58
NILS10
NILS12
IAI25
H10040021WI
ECOR45
ROAR292
LF50
H10020011MG
E2052
ECOR22
ECOR18
H10010093RA
B992
IAI59
S21
IAI29
370D
IAI07
NILS67
ECOR21
FN126
E1426
H10050058MA
H95
IAI55
NILS65
NILS82
ROAR178
ROAR131
ROAR059
TW10509
IAI22
H10010027SG
H10020069VG
ECOR38
NILS36
ECOR13
H10030115LR
ECOR39
FN116
NILS72
NILS11
NILS21
NILS25
034026C1
ROAR145
DEC1A
NILS23
NILS47
ROAR291
ECOR17
S1109
B1932
ECOR04
PDP21
NILS08
ECOR42
IAI20
H10030019BM
ECOR33
IAI44
ROAR176
H10030090VJ
ECOR11
ROAR043
IAI13
NILS19
IAI75
IAI11
ROAR220
ECOR61
NILS79
IAI03
H10030010GJ
NILS06
NILS07
H10030054PP
IAI37
034008
H10020060CT
B253
013008
H10060022LR
H10070015DG
IAI05
NILS14
IAI60
M863
FNB9
IAI51
ECOR71
ECOR08
H10010003SJ
NIC06
ECOR34
ECOR41
FN89
025010
ECOR55
ECOR15
FNB7
EFERGUSONIIIVAN
NILS39
IAI66
IAI53
ECOR10
536
IAI67
B1147
IAI35
ECOR50
H10030105CR
NILS34
ROAR438
IAI42
E7519
EC6230
H009
ECOR32
E4962
ECOR51
BDX03
ECOR12
LF82
ROAR387
IAI30
IAI76
NRG807C
VDG427
ECOR03
H10030071CJ
NILS17
ECOR26
NILS32
H10040017BM
IAI45
ROAR012
NILS43
IAI46
H10010125BM
NILS70
EALBERTIICIP107988T
ECOR46
NILS40
ECOR53
ROAR274
H70
NILS59
H10030120PR
ROAR334
IAI19
NILS29
ECOR69
IAI64
NILS48
IAI21
NILS24
ED1A
ECOR36
B49
NILS20
LM08
ROAR130
H10010034SM
ECOR44
ECOR67
NILS61
H10010053KC
381A
AN24
NILS51
IAI77
LF31
ROAR205
ECOR06
921A
IAI65
ECOR20
H10030088BJ
T205
NILS52
ROAR434
IAI06
B6A1
B12I13
S111
ROAR082
BEN4D
035004
NILS37
T145
ROAR400
ECOR27
ECOR58
IAI49
NILS49
B691
IAI41
001023
ROAR047
B090
NILS18
NILS62
NILS15
IAI69
ECOR07
ASP51G
IAI48
IAI73
NAN33
NILS81
NILS56
DEC2A
NILS64
ECOR28
H4
ECOR52
ECOR23
AN03
H10010013LJ
PDP351
IAI01
ECOR09
ATCC35469T
NILS75
NILS80
S176
NILS45
NILS54
IAI50
T147
IAI40
BCH953
IAI71
NILS38
MT1B1
NILS04
H384
ECOR16
IAI70
ECOR40
S191
NILS27
IAI74
LM40
ROAR029
H10010131CA
ECOR54
H47
ECOR25
NILS76
IAI04
916A
C2119
H48
NILS60
IAI16
S184
NILS01
ECOR47
IAI02
NILS78
ROAR344
NILS50
ROAR061
ROAR019
ROAR419
H14
IAI34
LM02
H10050012LM
IAI31
003026
IAI62
IAI17
IAI27
H10060003SL
H10070037HD
COLF12G
IAI10
H10010020MO
NILS57
IAI14
ROAR185
NILS41
ECOR30
NILS63
LM33
H10010155MI
ECOR72
BE
IAI57
